"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","62.79","60.07","57.03","54.37","50.50","46.71","47.08","43.97","40.57","39.19","38.36","36.80","31.48","30.14","25.58","22.22","19.83","18.11","15.33","14.52","",""
"Albania","277.47","235.73","207.46","198.19","170.09","156.58","146.42","174.66","160.51","152.68","164.43","153.11","135.37","135.19","105.03","81.82","75.02","66.77","53.06","40.17","36.25","33.76"
"Algeria","78.82","76.93","83.69","84.13","84.48","80.96","82.63","96.28","91.83","86.58","80.36","66.45","57.35","54.35","42.63","34.20","28.46","24.27","16.12","15.08","14.59","16.02"
"Andorra","411.54","364.56","385.66","390.43","347.30","346.15","352.45","394.57","405.58","411.03","461.88","430.48","435.54","474.67","448.10","382.75","353.58","337.06","284.64","223.67","207.89","198.21"
"Angola","15.02","15.26","21.37","30.43","38.51","33.13","36.09","35.14","30.51","21.46","21.94","18.70","18.62","29.37","26.35","21.40","22.95","23.34","16.92","14.43","13.04","3.55"
"Antigua and Barbuda","176.90","192.36","194.50","201.07","208.69","223.60","184.63","208.42","196.84","201.70","184.02","177.95","153.41","220.56","231.45","200.91","173.07","144.91","142.13","126.87","129.91","115.37"
"Argentina","233.68","194.74","243.30","305.64","318.20","339.84","395.48","346.31","379.52","355.31","323.41","262.48","204.72","224.82","178.11","147.03","129.23","85.71","73.73","66.78","197.88","205.17"
"Armenia","481.99","429.36","465.92","370.34","353.30","295.35","302.79","337.25","327.95","261.57","254.60","225.32","181.38","185.41","98.10","75.49","59.33","50.57","49.94","43.84","15.98","15.70"
"Australia","975.40","888.61","817.13","951.47","965.31","924.25","915.65","1094.22","1140.99","1210.34","1132.93","982.62","764.39","782.04","725.01","630.80","592.06","530.60","429.05","351.33","318.81","343.62"
"Austria","1026.41","926.66","942.95","983.40","945.94","906.34","880.64","1030.08","1003.68","927.37","968.43","893.03","889.75","922.73","842.28","730.24","711.78","693.84","583.88","464.93","421.42","404.41"
"Azerbaijan","164.47","140.38","140.45","130.65","118.77","117.55","161.49","187.13","164.83","146.05","113.66","91.36","77.76","62.86","39.05","27.90","20.24","17.84","16.19","14.72","13.31","13.02"
"Bahamas","479.80","397.18","506.29","525.21","504.49","474.75","473.74","450.61","427.98","429.02","396.68","392.34","377.31","392.31","383.48","364.76","346.24","316.11","301.72","292.03","279.58","257.42"
"Bahrain","264.32","290.11","307.11","314.76","351.54","311.07","293.75","293.75","299.12","276.31","241.48","231.72","223.67","207.06","208.07","158.14","158.51","169.33","178.74","127.11","117.44","117.02"
"Bangladesh","42.29","37.49","34.34","31.63","29.63","28.28","24.37","21.44","19.08","16.32","15.88","14.37","12.37","10.85","9.57","8.13","7.60","7.01","6.50","5.90","5.54","5.33"
"Barbados","545.02","531.68","547.44","538.62","540.36","533.99","514.50","514.47","505.15","501.22","492.10","425.37","423.39","403.03","384.17","363.27","336.50","315.21","288.14","249.57","242.04","242.70"
